tau_frac,psi_frac,dW_total,dW_total_pct,dW_r1_pct,dW_r2_pct,dW_r3_pct
0.2,0.6,0.00046200945515462166,0.007150411923764305,-0.10471511542706166,-0.08379500421206841,0.20742278081683097
0.2,0.7,0.0007175021413337035,0.01110461227465988,-0.11578547857459665,-0.0954010703367696,0.24157302146403084
0.2,0.8,0.0005155877662126329,0.007979630871493722,-0.13617839738003906,-0.12600286667909058,0.28260878073255513
0.2,0.9,0.0005697381720333183,0.008817703995619116,-0.1398617206378214,-0.1483336859432243,0.3107558124174235
0.2,1.0,0.0006256156075883368,0.0096825059536835,-0.15361631625789332,-0.16289645389521437,0.34128517411126486
0.3,0.0,0.00016875259768145412,0.0026117443553700386,-0.03412023014155433,-0.03697197401287449,0.07795487675020565
0.3,0.1,0.0002532097804524014,0.003918868354663111,-0.048085986694281116,-0.05071341727916046,0.10919922706674647
0.3,0.2,0.0003765715796744118,0.005828109973536196,-0.07294867632372098,-0.07014769713039107,0.15862241412878875
0.3,0.3,0.0002961464489921184,0.004583389098270748,-0.09930421118014844,-0.08304557680690229,0.19369710449017605
0.3,0.4,0.0003285937775450165,0.0050855687882974225,-0.10555749943806794,-0.08882017925922853,0.20706701214542703
0.3,0.5,0.0003099410347955356,0.00479688466575677,-0.11791730299961779,-0.09699387226827857,0.22648810293879856
0.3,0.6,0.00052764973440933,0.008166311122851055,-0.12467577131801426,-0.10019905023724997,0.24635392066590237
0.3,0.7,0.0008419773718228996,0.01303108620798097,-0.13272277223756462,-0.11017752184053897,0.2786185663867569
0.3,0.8,0.0006514186673332034,0.010081853854491177,-0.1539349773854102,-0.13852710719777783,0.3187673254842347
0.3,0.9,0.0006571144344187374,0.010170005905123465,-0.15895322090651381,-0.16079154565997586,0.34593833048904093
0.3,1.0,0.0007129918699737559,0.011034807863187848,-0.1727078165266064,-0.17535431361196593,0.37646769218284143
0.4,0.0,4.6645175779680415e-5,0.0007219164399340808,-0.04254585055036156,-0.061376102592290475,0.10472087549341406
0.4,0.1,0.00013274598774071222,0.0020544785025133133,-0.05760630259168445,-0.07621582888114233,0.13820605265887817
0.4,0.2,0.00031068457443783615,0.0048083922543240174,-0.08253648818071968,-0.09318896498706418,0.18778262558854886
0.4,0.3,0.00023025944375643093,0.0035636713790723165,-0.10889202303714715,-0.1060868446635754,0.22285731594993616
0.4,0.4,0.0002627067723102172,0.004065851069112737,-0.11514531129506665,-0.11186144711590164,0.23622722360516668
0.4,0.5,0.00024405402955984812,0.003777166946558339,-0.1275051148566165,-0.12003514012495169,0.2556483143985791
0.4,0.6,0.0004917808174935701,0.007611176312631369,-0.13801816597013183,-0.11936846237428789,0.2767926282266851
0.4,0.7,0.0007766707598699796,0.012020351099426696,-0.14372866327026027,-0.13592518338915932,0.31187557685159323
0.4,0.8,0.0005747563847497972,0.008895369696274283,-0.16412158207568203,-0.16652697973148028,0.35291133612009706
